# IPIP-NEO facet item pool, public domain, fetched from https://ipip.ori.org/newNEO_FacetsKey.htm
text,domain,facet_code,facet,key
Worry about things.,N,N1,Anxiety,1
Fear for the worst.,N,N1,Anxiety,1
Am afraid of many things.,N,N1,Anxiety,1
Get stressed out easily.,N,N1,Anxiety,1
Get caught up in my problems.,N,N1,Anxiety,1
Am not easily bothered by things.,N,N1,Anxiety,-1
Am relaxed most of the time.,N,N1,Anxiety,-1
Am not easily disturbed by events.,N,N1,Anxiety,-1
Don't worry about things that have already happened.,N,N1,Anxiety,-1
Adapt easily to new situations.,N,N1,Anxiety,-1
Get angry easily.,N,N2,Anger,1
Get irritated easily.,N,N2,Anger,1
Get upset easily.,N,N2,Anger,1
Am often in a bad mood.,N,N2,Anger,1
Lose my temper.,N,N2,Anger,1
Rarely get irritated.,N,N2,Anger,-1
Seldom get mad.,N,N2,Anger,-1
Am not easily annoyed.,N,N2,Anger,-1
Keep my cool.,N,N2,Anger,-1
Rarely complain.,N,N2,Anger,-1
Often feel blue.,N,N3,Depression,1
Dislike myself.,N,N3,Depression,1
Am often down in the dumps.,N,N3,Depression,1
Have a low opinion of myself.,N,N3,Depression,1
Have frequent mood swings.,N,N3,Depression,1
Feel desperate.,N,N3,Depression,1
Feel that my life lacks direction.,N,N3,Depression,1
Seldom feel blue.,N,N3,Depression,-1
Feel comfortable with myself.,N,N3,Depression,-1
Am very pleased with myself.,N,N3,Depression,-1
Am easily intimidated.,N,N4,Self-Consciousness,1
Am afraid that I will do the wrong thing.,N,N4,Self-Consciousness,1
Find it difficult to approach others.,N,N4,Self-Consciousness,1
Am afraid to draw attention to myself.,N,N4,Self-Consciousness,1
Only feel comfortable with friends.,N,N4,Self-Consciousness,1
Stumble over my words.,N,N4,Self-Consciousness,1
Am not embarrassed easily.,N,N4,Self-Consciousness,-1
Am comfortable in unfamiliar situations.,N,N4,Self-Consciousness,-1
Am not bothered by difficult social situations.,N,N4,Self-Consciousness,-1
Am able to stand up for myself.,N,N4,Self-Consciousness,-1
Often eat too much.,N,N5,Immoderation,1
Don't know why I do some of the things I do.,N,N5,Immoderation,1
Do things I later regret.,N,N5,Immoderation,1
Go on binges.,N,N5,Immoderation,1
Love to eat.,N,N5,Immoderation,1
Rarely overindulge.,N,N5,Immoderation,-1
Easily resist temptations.,N,N5,Immoderation,-1
Am able to control my cravings.,N,N5,Immoderation,-1
Never spend more than I can afford.,N,N5,Immoderation,-1
Never splurge.,N,N5,Immoderation,-1
Panic easily.,N,N6,Vulnerability,1
Become overwhelmed by events.,N,N6,Vulnerability,1
Feel that I'm unable to deal with things.,N,N6,Vulnerability,1
Can't make up my mind.,N,N6,Vulnerability,1
Get overwhelmed by emotions.,N,N6,Vulnerability,1
Remain calm under pressure.,N,N6,Vulnerability,-1
Can handle complex problems.,N,N6,Vulnerability,-1
Know how to cope.,N,N6,Vulnerability,-1
Readily overcome setbacks.,N,N6,Vulnerability,-1
Am calm even in tense situations.,N,N6,Vulnerability,-1
Make friends easily.,E,E1,Friendliness,1
Warm up quickly to others.,E,E1,Friendliness,1
Feel comfortable around people.,E,E1,Friendliness,1
Act comfortably with others.,E,E1,Friendliness,1
Cheer people up.,E,E1,Friendliness,1
Am hard to get to know.,E,E1,Friendliness,-1
Often feel uncomfortable around others.,E,E1,Friendliness,-1
Avoid contacts with others.,E,E1,Friendliness,-1
Am not really interested in others.,E,E1,Friendliness,-1
Keep others at a distance.,E,E1,Friendliness,-1
Love large parties.,E,E2,Gregariousness,1
Talk to a lot of different people at parties.,E,E2,Gregariousness,1
Enjoy being part of a group.,E,E2,Gregariousness,1
Involve others in what I am doing.,E,E2,Gregariousness,1
Love surprise parties.,E,E2,Gregariousness,1
Prefer to be alone.,E,E2,Gregariousness,-1
Want to be left alone.,E,E2,Gregariousness,-1
Don't like crowded events.,E,E2,Gregariousness,-1
Avoid crowds.,E,E2,Gregariousness,-1
Seek quiet.,E,E2,Gregariousness,-1
Take charge.,E,E3,Assertiveness,1
Try to lead others.,E,E3,Assertiveness,1
Can talk others into doing things.,E,E3,Assertiveness,1
Seek to influence others.,E,E3,Assertiveness,1
Take control of things.,E,E3,Assertiveness,1
Wait for others to lead the way.,E,E3,Assertiveness,-1
Keep in the background.,E,E3,Assertiveness,-1
Have little to say.,E,E3,Assertiveness,-1
Don't like to draw attention to myself.,E,E3,Assertiveness,-1
Hold back my opinions.,E,E3,Assertiveness,-1
Am always busy.,E,E4,Activity Level,1
Am always on the go.,E,E4,Activity Level,1
Do a lot in my spare time.,E,E4,Activity Level,1
Can manage many things at the same time.,E,E4,Activity Level,1
React quickly.,E,E4,Activity Level,1
Like to take it easy.,E,E4,Activity Level,-1
Like to take my time.,E,E4,Activity Level,-1
Like a leisurely lifestyle.,E,E4,Activity Level,-1
Let things proceed at their own pace.,E,E4,Activity Level,-1
React slowly.,E,E4,Activity Level,-1
Love excitement.,E,E5,Excitement-Seeking,1
Seek adventure.,E,E5,Excitement-Seeking,1
Love action.,E,E5,Excitement-Seeking,1
Enjoy being part of a loud crowd.,E,E5,Excitement-Seeking,1
Enjoy being reckless.,E,E5,Excitement-Seeking,1
Act wild and crazy.,E,E5,Excitement-Seeking,1
Am willing to try anything once.,E,E5,Excitement-Seeking,1
Seek danger.,E,E5,Excitement-Seeking,1
Would never go hang gliding or bungee jumping.,E,E5,Excitement-Seeking,-1
Dislike loud music.,E,E5,Excitement-Seeking,-1
Radiate joy.,E,E6,Cheerfulness,1
Have a lot of fun.,E,E6,Cheerfulness,1
Express childlike joy.,E,E6,Cheerfulness,1
Laugh my way through life.,E,E6,Cheerfulness,1
Love life.,E,E6,Cheerfulness,1
Look at the bright side of life.,E,E6,Cheerfulness,1
Laugh aloud.,E,E6,Cheerfulness,1
Amuse my friends.,E,E6,Cheerfulness,1
Am not easily amused.,E,E6,Cheerfulness,-1
Seldom joke around.,E,E6,Cheerfulness,-1
